線番号,1,電圧(V)/Ch167/Cy000002/C,2,電圧(V)/Ch168/Cy000002/C,3,電圧(V)/Ch169/Cy000002/C,4,電圧(V)/Ch170/Cy000002/C,5,電圧(V)/Ch171/Cy000002/C,6,電圧(V)/Ch172/Cy000002/C,7,電圧(V)/Ch185/Cy000002/C,8,電圧(V)/Ch186/Cy000002/C,9,電圧(V)/Ch187/Cy000002/C,10,電圧(V)/Ch188/Cy000002/C,11,電圧(V)/Ch189/Cy000002/C,12,電圧(V)/Ch190/Cy000002/C,13,電圧(V)/Ch191/Cy000002/C,14,電圧(V)/Ch192/Cy000002/C,15,電圧(V)/Ch193/Cy000002/C,16,電圧(V)/Ch195/Cy000002/C,17,電圧(V)/Ch196/Cy000002/C,,,,,,電圧(V)/Ch167/Cy000002/C,,電圧(V)/Ch168/Cy000002/C,,電圧(V)/Ch169/Cy000002/C,,電圧(V)/Ch170/Cy000002/C,,電圧(V)/Ch171/Cy000002/C,,電圧(V)/Ch172/Cy000002/C,,電圧(V)/Ch185/Cy000002/C,,電圧(V)/Ch186/Cy000002/C,,電圧(V)/Ch187/Cy000002/C,,電圧(V)/Ch188/Cy000002/C,,電圧(V)/Ch189/Cy000002/C,,電圧(V)/Ch190/Cy000002/C,,電圧(V)/Ch191/Cy000002/C,,電圧(V)/Ch192/Cy000002/C,,電圧(V)/Ch193/Cy000002/C,,電圧(V)/Ch195/Cy000002/C,,電圧(V)/Ch196/Cy000002/C,
番号,容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),容量(mAh),電圧(V),,,,,,4.54775,,4.17492,,5.03471,,3.93819,,4.27233,,5.11355,,5.12396,,5.69752,,4.80782,,5.6755,,5.65717,,5.2099,,5.60727,,5.60672,,4.68947,,5.28262,,4.49081,
1,0,0.0144,0,0.0132,0,0.0144,0,0.012,0,0.0124,0,0.0126,0,0.0134,0,0.0126,0,0.0132,0,0.013,0,0.014,0,0.0136,0,0.0128,0,0.0136,0,0.0132,0,0.0154,0,0.0128,,,,,,0,0.0144,0,0.0132,0,0.0144,0,0.012,0,0.0124,0,0.0126,0,0.0134,0,0.0126,0,0.0132,0,0.013,0,0.014,0,0.0136,0,0.0128,0,0.0136,0,0.0132,0,0.0154,0,0.0128
2,0.00017,0.0552,0.00014,0.0478,0.00017,0.0762,0.00017,0.0334,0.00017,0.0334,0.00021,0.0406,0.00017,0.0526,0.00014,0.0472,0.00014,0.0508,0.00017,0.0462,0.00017,0.0704,0.00017,0.0468,0.00017,0.0426,0.00017,0.0558,0.00014,0.0424,0.00014,0.0402,0.00017,0.0488,,,,,,3.74E-05,0.0552,3.35E-05,0.0478,3.38E-05,0.0762,4.32E-05,0.0334,3.98E-05,0.0334,4.11E-05,0.0406,3.32E-05,0.0526,2.46E-05,0.0472,2.91E-05,0.0508,3.00E-05,0.0462,3.01E-05,0.0704,3.26E-05,0.0468,3.03E-05,0.0426,3.03E-05,0.0558,2.99E-05,0.0424,2.65E-05,0.0402,3.79E-05,0.0488
3,0.00226,0.0604,0.00222,0.0524,0.00233,0.0798,0.00233,0.0364,0.00226,0.0364,0.00229,0.0428,0.00226,0.0582,0.00222,0.0514,0.00229,0.0574,0.00233,0.0524,0.00226,0.0746,0.00233,0.0536,0.00226,0.0466,0.00226,0.0594,0.00229,0.047,0.00236,0.0446,0.00226,0.0544,,,,,,0.000496949,0.0604,0.000531747,0.0524,0.000462787,0.0798,0.000591642,0.0364,0.000528985,0.0364,0.00044783,0.0428,0.000441065,0.0582,0.000389643,0.0514,0.000476307,0.0574,0.000410537,0.0524,0.000399493,0.0746,0.000447225,0.0536,0.000403048,0.0466,0.000403088,0.0594,0.000488328,0.047,0.000446748,0.0446,0.00050325,0.0544
4,0.00441,0.0632,0.00438,0.0552,0.00455,0.0812,0.00441,0.038,0.00448,0.0382,0.00444,0.0442,0.00434,0.0614,0.00431,0.0538,0.00438,0.0612,0.00441,0.0556,0.00434,0.0766,0.00427,0.0572,0.00434,0.049,0.00434,0.061,0.00444,0.0498,0.00444,0.047,0.00434,0.0576,,,,,,0.00096971,0.0632,0.001049122,0.0552,0.000903726,0.0812,0.001119804,0.038,0.001048608,0.0382,0.000868281,0.0442,0.000847001,0.0614,0.000756469,0.0538,0.000911016,0.0612,0.000777024,0.0556,0.000767168,0.0766,0.000819593,0.0572,0.000773995,0.049,0.000774071,0.061,0.000946802,0.0498,0.000840492,0.047,0.000966418,0.0576
5,0.00629,0.0654,0.00653,0.0574,0.0067,0.0822,0.00649,0.0394,0.00664,0.0396,0.00653,0.0454,0.00525,0.0626,0.00639,0.0558,0.00646,0.0642,0.00469,0.0562,0.00642,0.0782,0.00455,0.0578,0.00649,0.0508,0.00656,0.0624,0.00653,0.052,0.00659,0.0492,0.00531,0.0588,,,,,,0.001383102,0.0654,0.001564102,0.0574,0.001330762,0.0822,0.001647965,0.0394,0.001554187,0.0396,0.001276999,0.0454,0.001024598,0.0626,0.001121541,0.0558,0.001343644,0.0642,0.000826359,0.0562,0.001134843,0.0782,0.000873337,0.0578,0.001157426,0.0508,0.001170025,0.0624,0.001392481,0.052,0.001247487,0.0492,0.001182415,0.0588
6,0.00656,0.0656,0.00716,0.058,0.00885,0.083,0.00858,0.0408,0.00879,0.041,0.00868,0.0466,0.00643,0.064,0.00813,0.0572,0.00861,0.0668,0.0065,0.0584,0.00858,0.0792,0.00677,0.061,0.00858,0.0524,0.00865,0.0636,0.0068,0.0524,0.00777,0.0502,0.00656,0.0604,,,,,,0.001442472,0.0656,0.001715003,0.058,0.001757797,0.083,0.002178666,0.0408,0.002057425,0.041,0.001697451,0.0466,0.001254889,0.064,0.001426937,0.0572,0.001790832,0.0668,0.001145274,0.0584,0.001516659,0.0792,0.001299449,0.061,0.001530156,0.0524,0.001542792,0.0636,0.001450057,0.0524,0.001470861,0.0502,0.001460761,0.0604
7,0.00872,0.0678,0.00868,0.0594,0.011,0.0832,0.01073,0.0424,0.01102,0.0424,0.01076,0.0478,0.00851,0.0664,0.00848,0.0576,0.01069,0.0692,0.00865,0.061,0.01066,0.0804,0.00899,0.064,0.00885,0.0526,0.01073,0.0648,0.00868,0.0542,0.00868,0.051,0.00865,0.0628,,,,,,0.001917432,0.0678,0.002079082,0.0594,0.002184833,0.0832,0.002724602,0.0424,0.002579389,0.0424,0.002104213,0.0478,0.001660825,0.0664,0.001488367,0.0576,0.002223461,0.0692,0.001524095,0.061,0.001884334,0.0804,0.001725561,0.064,0.001578308,0.0526,0.001913775,0.0648,0.001850955,0.0542,0.001643124,0.051,0.001926156,0.0628
8,0.01087,0.07,0.01077,0.0614,0.01316,0.0836,0.01226,0.0434,0.01254,0.0434,0.01285,0.0488,0.01059,0.0686,0.01056,0.0592,0.01285,0.0714,0.01073,0.063,0.01274,0.0812,0.01115,0.0666,0.01073,0.054,0.01254,0.0658,0.01076,0.056,0.01076,0.0528,0.01073,0.065,,,,,,0.002390193,0.07,0.00257969,0.0614,0.002613855,0.0836,0.003113105,0.0434,0.002935167,0.0434,0.002512931,0.0488,0.002066761,0.0686,0.001853438,0.0592,0.002672729,0.0714,0.001890582,0.063,0.002252009,0.0812,0.002140156,0.0666,0.001913587,0.054,0.002236602,0.0658,0.002294502,0.056,0.002036868,0.0528,0.002389324,0.065
9,0.01302,0.0718,0.01292,0.0632,0.01531,0.0836,0.01288,0.0438,0.01317,0.0436,0.01493,0.05,0.01268,0.0706,0.01264,0.0608,0.015,0.0734,0.01296,0.065,0.01483,0.0818,0.01177,0.0674,0.01302,0.0558,0.01289,0.066,0.01284,0.058,0.01284,0.0544,0.01281,0.067,,,,,,0.002862954,0.0718,0.00309467,0.0632,0.00304089,0.0836,0.003270538,0.0438,0.003082627,0.0436,0.002919694,0.05,0.002474649,0.0706,0.002218509,0.0608,0.003119917,0.0734,0.002283499,0.065,0.002621452,0.0818,0.00225916,0.0674,0.002321986,0.0558,0.002299027,0.066,0.002738049,0.058,0.002430612,0.0544,0.002852492,0.067
