こんち(は|わ)$	こんにちは|やほー|ちわす|ども|またあんた？
おはよう|おはよー|オハヨウ	おはよ！|まだ眠い…|さっき寝たばかりだよ
こんばん(は|わ)	こんばんわ|おばんですね|いま何時？
^(お|うい)す$	うぃっす
^やあ[、。！]*$	やっほー
バイバイ|ばいばい	ばいばい|バイバーイ|ごきげんよう
^じゃあ?ね?$|またね	またねー|じゃあまたね|また遊んでね

^どれ[？?]$	アレはアレ|いま手に持ってるものだよ|それだよー
^[し知]ら[なね]	やばいー|知らなきゃまずいじゃん|知らないの？

おまえ|あんた|お前|てめー	%match%じゃないよ！
バカ|ばか|馬鹿	そんなふうに言わないでよ！|%match%じゃないもん！|%match%って言うやつが%match%なんだよ！|ぷんすか！
ごめん|すまん|(許|ゆる)し	じゃあお菓子買ってー|もう～|知らないよーだ！
かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%って言った！？ 言った！？

何時	眠くなった？|もう寝るの？|まだいいじゃん|もう寝なきゃ
甘い|あまい	お菓子くれるの？|あんこも好きだよ|チョコもいいね

チョコ	ギミチョコ！|よこせチョコレート！|ビターは苦手かな？|つべたく冷やしてね|虫歯ばいばいき～ん
パンケーキ	パンケーキいいよね！|しっとり感がス・テ・キ！
グミ	すっぱーいのが好き！|たまに歯にはさまらない？
マシュマロ	そのままでもいいけど焼くのがいいな|パンに塗りたくるのもいいよね
あんこ|アンコ|餡子	アンコなら中村屋のあんぱんじゃ！|アンコ！よこせ！|あんまんもいいよね
餃子|ぎょうざ|キョーザ	食べたーい！くれ！|ぎぎぎ、ぎょうざ…|餃子のことを考えると夜も眠れません|宇都宮行ってみたい
ラーメン|らーめん	ラーメン大好きピティナさん♪|自分でも作るよ|あたしはしょうゆ派かな

自転車|チャリ|ちゃり	るんるんだよ|雨降っても乗ってるんだ！|電動アシストほしいな～

春	お花見したいね～|いくらでも寝てられる|春はハイキング！
夏	海！海！海！|プール！ プール！！|アイスちょーだい♪|花火しようよ！
秋	読書するぞー！|ブンガクの季節なのだ|温泉もいいよね|サンマ焼こうよ！
冬	お鍋大好き！|かわいいコートが欲しい！|スノボできる？|温泉へGo！
